#Date,TotalDistance
2026/04/17 09:30:34,5134.5
#Screen_X,Screen_Y,GazeDataCount
448,252,1315
#GameTime,Gaze_X,Gaze_Y
33.12,300,104
33.14,300,99
33.16,300,91
33.18,300,73
33.20,303,62
33.22,309,46
33.24,314,36
33.26,321,27
33.28,325,23
33.30,330,19
33.32,332,18
33.34,333,17
33.36,333,16
33.38,333,16
33.40,333,16
33.42,333,16
33.44,333,16
33.46,333,16
33.48,333,16
33.50,333,16
33.52,333,16
33.54,333,18
33.56,333,20
33.58,331,26
33.60,328,32
33.62,313,49
33.64,288,72
33.66,240,110
33.68,212,130
33.70,167,167
33.72,154,180
33.74,143,192
33.76,141,194
33.78,141,194
33.80,141,194
33.82,141,194
33.84,141,194
33.86,141,194
33.88,141,194
33.90,141,194
33.92,141,194
33.94,141,194
33.96,141,194
33.98,141,194
34.00,141,194
34.02,141,194
34.04,140,194
34.06,136,195
34.08,133,196
34.10,128,198
34.12,126,199
34.14,122,199
34.16,121,200
34.18,120,200
34.20,120,200
34.22,120,200
34.24,120,200
34.26,120,200
34.28,120,200
34.30,120,200
34.32,120,200
34.34,119,200
34.36,119,200
34.38,118,200
34.40,117,200
34.42,114,201
34.44,112,202
34.46,109,205
34.48,108,208
34.50,107,214
34.52,107,218
34.54,106,225
34.56,106,229
34.58,106,231
34.60,106,232
34.62,106,232
34.64,107,232
34.66,111,232
34.68,117,229
34.70,130,224
34.72,146,218
34.74,171,214
34.76,184,213
34.78,209,210
34.80,225,210
34.82,244,210
34.84,252,210
34.86,261,212
34.88,265,213
34.90,267,214
34.92,267,215
34.94,268,215
34.96,269,215
34.98,271,216
35.00,273,217
35.02,278,217
35.04,281,218
35.06,286,218
35.08,290,219
35.10,295,219
35.12,298,219
35.14,301,219
35.16,303,220
35.18,305,220
35.20,306,221
35.22,307,222
35.24,307,223
35.26,308,224
35.28,309,225
35.30,309,225
35.32,309,225
35.34,309,226
35.36,309,226
35.38,309,226
35.40,309,226
35.42,309,226
35.44,309,226
35.46,309,226
35.48,309,226
35.50,309,226
35.52,309,226
35.54,309,226
35.56,309,226
35.58,309,226
35.60,309,226
35.62,309,226
35.64,309,226
35.66,309,226
35.68,309,226
35.70,309,226
35.72,309,226
35.74,309,226
35.76,309,226
35.78,309,226
35.80,309,226
35.82,309,226
35.84,308,226
35.86,307,226
35.88,306,227
35.90,305,227
35.92,304,228
35.94,303,228
35.96,302,229
35.98,300,229
36.00,299,230
36.02,298,230
36.04,297,230
36.06,296,231
36.08,295,231
36.10,294,232
36.12,293,232
36.14,293,232
36.16,293,233
36.18,292,233
36.20,292,233
36.22,291,233
36.24,291,233
36.26,290,234
36.28,289,234
36.30,287,234
36.32,287,235
36.34,285,235
36.36,285,235
36.38,285,235
36.40,284,236
36.42,284,236
36.44,283,236
36.46,283,236
36.48,282,237
36.50,282,237
36.52,281,237
36.54,280,237
36.56,279,238
36.58,279,238
36.60,278,238
36.62,278,239
36.64,278,239
36.66,278,239
36.68,277,239
36.70,277,239
36.72,276,240
36.74,276,240
36.76,276,240
36.78,275,240
36.80,275,240
36.82,274,241
36.84,273,241
36.86,273,241
36.88,272,242
36.90,271,242
36.92,270,242
36.94,269,243
36.96,268,243
36.98,267,243
37.00,266,244
37.02,266,244
37.04,264,245
37.06,264,245
37.08,263,245
37.10,262,245
37.12,262,245
37.14,261,246
37.16,261,246
37.18,261,246
37.20,260,246
37.22,260,246
37.24,260,246
37.26,260,246
37.28,260,246
37.30,260,246
37.32,260,246
37.34,260,246
37.36,260,246
37.38,260,246
37.40,259,246
37.42,259,246
37.44,258,246
37.46,258,246
37.48,257,246
37.50,257,246
37.52,257,246
37.54,256,246
37.56,256,246
37.58,255,246
37.60,254,246
37.62,252,247
37.64,251,247
37.66,250,247
37.68,248,248
37.70,247,248
37.72,246,248
37.74,244,249
37.76,243,249
37.78,242,249
37.80,240,250
37.82,239,250
37.84,238,250
37.86,238,250
37.88,237,250
37.90,236,251
37.92,235,251
37.94,234,251
37.96,234,252
37.98,233,252
38.00,233,252
38.02,232,252
38.04,231,252
38.06,231,252
38.08,230,252
38.10,230,252
38.12,230,252
38.14,230,252
38.16,230,252
38.18,230,252
38.20,229,252
38.22,229,252
38.24,229,253
38.26,228,253
38.28,226,253
38.30,226,253
38.32,225,253
38.34,224,254
38.36,223,254
38.38,223,254
38.40,222,254
38.42,222,254
38.44,221,254
38.46,221,254
38.48,220,254
38.50,220,254
38.52,220,254
38.54,220,255
38.56,220,255
38.58,220,255
38.60,220,255
38.62,220,255
38.64,219,255
38.66,219,255
38.68,218,255
38.70,218,255
38.72,217,255
38.74,217,255
38.76,216,256
38.78,215,256
38.80,214,256
38.82,213,257
38.84,211,257
38.86,210,257
38.88,209,258
38.90,209,258
38.92,207,258
38.94,207,259
38.96,206,259
38.98,206,259
